"cID","bitterResource","description","molIDinResource","type","bitterClassification","SensoryTestConcentration_mM","EC50_mM","thrPerKg_mM","citation","organism"
"36","https://pubmed.ncbi.nlm.nih.gov/37413835/",,,"pubMed",,,,,"Yang J. et al. Discovery and verification of bitter components in Panax notoginseng based on the integrated strategy of pharmacophore model, system separation and bitter tracing technology, Food Chemistry, 2023, 428, 136716",NULL
"36","merck",,,,,,,,,NULL
"36","pubChem",,,,,,,,,NULL
"37","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"37","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"37","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"37","merck",,,,,,,,,NULL
"37","pubChem",,,,,,,,,NULL
"38","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"38","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"38","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"38","https://pubmed.ncbi.nlm.nih.gov/29355483/",,,"pubMed",,,,,"Liu K. et al. Plasticity of the ligand binding pocket in the bitter taste receptor T2R7, Biochimica et Biophysica Acta (BBA) - Biomembranes, 2018, 1860, 5, 991-999",NULL
"38","https://pubmed.ncbi.nlm.nih.gov/29748385/",,,"pubMed",,,,,"Freund J. R. et al. Activation of airway epithelial bitter taste receptors by Pseudomonas aeruginosa quinolones modulates calcium, cyclic-AMP, and nitric oxide signaling, Journal of Biological Chemistry, 2018, 293, 25, 9824-9840",NULL
"38","https://pubmed.ncbi.nlm.nih.gov/29799189/",,,"pubMed",,,,,"Jaggupilli A. et al. Characterization of the Binding Sites for Bacterial Acyl Homoserine Lactones (AHLs) on Human Bitter Taste Receptors (T2Rs), ACS Infectious Diseases, 2018, 4(7), 1146â€“1156",NULL
"38","https://pubmed.ncbi.nlm.nih.gov/35470959/",,,"pubMed",,,,,"Wang Y. et al. Flavor challenges in extruded plant-based meat alternatives: A review, Comprehensive Reviews in Food Science and Food Safety, 2022, 21(3), 2898-2929",NULL
"38","https://pubmed.ncbi.nlm.nih.gov/37413835/",,,"pubMed",,,,,"Yang J. et al. Discovery and verification of bitter components in Panax notoginseng based on the integrated strategy of pharmacophore model, system separation and bitter tracing technology, Food Chemistry, 2023, 428, 136716",NULL
"38","https://pubmed.ncbi.nlm.nih.gov/37432169/",,,"pubMed",,,,,"Rosa A. et al. Sex Differences in the Bitterness Perception of an Aromatic Myrtle Bitter Liqueur and Bitter Compounds, Nutrients, 2023, 15(9), 2030",NULL
"38","https://pubmed.ncbi.nlm.nih.gov/37609224/",,,"pubMed",,,,,"Nguyen H. et al. Thiazolidinediones are partially effective bitter blockers, bioRxiv, 2023",NULL
"38","pubChem",,,,,,,,,NULL
"39","merck",,,,,,,,,NULL
"39","pubChem",,,,,,,,,NULL
"40","fenarolis handbook of flavor ingredients",,,,"intensely bitter taste",,,,,NULL
"40","https://pubmed.ncbi.nlm.nih.gov/36089978/",,,"pubMed",,,,,"Bhatia V. et al. Extraoral expression and characterization of bitter taste receptors inÂ Astyanax mexicanusÂ (Mexican tetra fish), FASEB BioAdvances, 2022, 4(9), 574-584",NULL
"40","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.007",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"40","https://pubmed.ncbi.nlm.nih.gov/38056337/",,,"pubMed",,"0.00538",,,"Xiang X. et al. Characterization of key bitter compounds in Idesia polycarpa var. vestita Diels fruit by sensory-guided fractionation, Food Chemistry, 2024, 439, 138103",NULL
"40","https://pubmed.ncbi.nlm.nih.gov/7812797/",,,"pubMed",,"0.261",,,"Susan S. S. et al. The effect of sweeteners on bitter taste in young and elderly subjects, Brain Research Bulletin, 1994, 35, 3, 189-204",NULL
"40","https://www.ncbi.nlm.nih.gov/pubmed/7878099",,,"pubMed",,"0.03",,,"Guinard JX, Hong DY, Zoumas-Morse C, Budwig C, Russell GF (1994). Chemoreception and perception of the bitterness of isohumulones. Physiol Behav 56(6): 1257-63.",NULL
"40","pubChem",,,,,,,,,NULL
"41","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"41","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"41","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"41","https://pubmed.ncbi.nlm.nih.gov/34504956/",,,"pubMed",,,,,"Shimizu T. et al. Expression profiles and functional characterization of common carp (Cyprinus carpio) T2Rs, Biochemistry and Biophysics Reports, 2021, 28, 101123",NULL
"41","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"41","https://www.ncbi.nlm.nih.gov/pubmed/7878096",,,"pubMed",,"0.00013",,,"Cowart BJ, Yokomukai Y, Beauchamp GK (1994). Bitter taste in aging: compound-specific decline in sensitivity. Physiol Behav 56(6): 1237-41.",NULL
"41","merck",,,,,,,,,NULL
"42","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"42","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"42","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"43","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"43","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"43","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"44","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"44","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"44","https://doi.org/10.1093/nar/gky974",,,"URL",,,,,,NULL
"44","https://doi.org/10.1111/cbdd.12734",,,"URL",,,,,,NULL
"44","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"44","https://pubmed.ncbi.nlm.nih.gov/34785711/",,,"pubMed",,,,,"Cui M. et al. Activation of specific bitter taste receptors by olive oil phenolics and secoiridoids,Â Sci Rep, 2021, 11, 22340",NULL
"44","https://pubmed.ncbi.nlm.nih.gov/36449493/",,,"pubMed",,,,,"Gibbs M. et al. Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion, PLOS ONE, 2022, 17(11)",NULL
"44","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"44","https://pubmed.ncbi.nlm.nih.gov/37012410/",,,"pubMed",,,,,"Fierro F. et al. Inhibiting a promiscuous GPCR: iterative discovery of bitter taste receptor ligands, Cellular and Molecular Life Sciences, 2023, 80, 114",NULL
"44","https://pubmed.ncbi.nlm.nih.gov/37413835/",,,"pubMed",,,,,"Yang J. et al. Discovery and verification of bitter components in Panax notoginseng based on the integrated strategy of pharmacophore model, system separation and bitter tracing technology, Food Chemistry, 2023, 428, 136716",NULL
"45","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"45","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"45","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"46","fenarolis handbook of flavor ingredients",,,,"bitter",,,,,NULL
"46","http://www.ncbi.nlm.nih.gov/pubmed/16562985",,,"pubMed",,,,,"Rodgers S, Glen RC, Bender A (None). Characterizing bitterness: identification of key structural features and development of a classification model. J Chem Inf Model 46(2): 569-76.",NULL
"46","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"46","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"46","https://link.springer.com/article/10.1007%2Fs12078-009-9049-1",,,"springerlink","providing a long-lasting bitterness perceived all over in the oral cavity
","8",,,,NULL
"46","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"46","https://pubmed.ncbi.nlm.nih.gov/29355483/",,,"pubMed",,,,,"Liu K. et al. Plasticity of the ligand binding pocket in the bitter taste receptor T2R7, Biochimica et Biophysica Acta (BBA) - Biomembranes, 2018, 1860, 5, 991-999",NULL
"46","https://pubmed.ncbi.nlm.nih.gov/35435783/",,,"pubMed",,,,,"Shu N. et al. Metabolomics identify landscape of food sensory properties, Critical Reviews in Food Science and Nutrition, 2023, 63(27), 8478-8488",NULL
"46","https://pubmed.ncbi.nlm.nih.gov/35470959/",,,"pubMed",,,,,"Wang Y. et al. Flavor challenges in extruded plant-based meat alternatives: A review, Comprehensive Reviews in Food Science and Food Safety, 2022, 21(3), 2898-2929",NULL
"46","https://pubmed.ncbi.nlm.nih.gov/35761574/",,,"pubMed",,"1.15e-06",,,"Deng S. et al. Bitter and astringent substances in green tea: composition, human perception mechanisms, evaluation methods and factors influencing their formation, Food Research International, 2022, 157, 111262",NULL
"46","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.5",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"46","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"46","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"46","https://pubmed.ncbi.nlm.nih.gov/7812797/",,,"pubMed",,"14.5",,,"Susan S. S. et al. The effect of sweeteners on bitter taste in young and elderly subjects, Brain Research Bulletin, 1994, 35, 3, 189-204",NULL
"46","https://www.ncbi.nlm.nih.gov/pubmed/7878099",,,"pubMed",,"0.7-3.7",,,"Guinard JX, Hong DY, Zoumas-Morse C, Budwig C, Russell GF (1994). Chemoreception and perception of the bitterness of isohumulones. Physiol Behav 56(6): 1257-63.",NULL
"46","https://www.sciencedirect.com/science/article/pii/B9780080453828001088",,,"URL","bitter","0.7",,,,NULL
"46","https://www.sciencedirect.com/science/article/pii/S0924224420304763",,,"URL",,"0.5",,,"Zhang l. et al. Association between chemistry and taste of tea: A review, Trends in Food Science & Technology, 2020, 101, 139-149",NULL
"46","merck",,,,,,,,,NULL
"48","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"48","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"48","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"48","merckProp",,,,"Very bitter taste",,,,,NULL
"49","fenarolis handbook of flavor ingredients",,,,"bitter undertone",,,,,NULL
"49","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"49","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"49","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"49","https://pubmed.ncbi.nlm.nih.gov/33355666/",,,"pubMed",,,,,"Behrens M. et al. At the Root of T2R Gene Evolution: Recognition Profiles of Coelacanth and Zebrafish Bitter Receptors, Genome Biology and Evolution, 2021, 13(1)",NULL
"49","https://pubmed.ncbi.nlm.nih.gov/33784867/",,,"pubMed",,,,,"Ziegler F. and Behrens M. Bitter taste receptors of the common vampire bat are functional and show conserved responses to metal ions in vitro, Proceedings of the Royal Society B: Biological Sciences, 2021, 288(1947)",NULL
"49","https://pubmed.ncbi.nlm.nih.gov/35652727/",,,"pubMed",,,,,"Itoigawa A. et al. Functional Diversity and Evolution of Bitter Taste Receptors in Egg-Laying Mammals, Molecular Biology and Evolution, 2022, 39(6)",NULL
"49","https://pubmed.ncbi.nlm.nih.gov/36929150/",,,"pubMed",,,,,"Lang T. et al. Activation Profile of TAS2R2, the 26th Human Bitter Taste Receptor, Molecular Nutrition & Food Research, 2023, 67(11)",NULL
"49","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"50","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"50","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"50","https://doi.org/10.1523/JNEUROSCI.3248-12.2013",,,"URL",,,,,,NULL
"50","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"50","https://www.ncbi.nlm.nih.gov/pubmed/7878094",,,"pubMed",,,"0.000001",,"Glendinning JI (1994). Is the bitter rejection response always adaptive? Physiol Behav 56(6): 1217-27.",NULL
"51","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"51","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"51","https://pubmed.ncbi.nlm.nih.gov/18922011/",,,"pubMed",,"0.04",,,"Schmiech L. Reinvestigation of the Bitter Compounds in Carrots (Daucus carotaÂ L.) by Using a Molecular Sensory Science Approach, Journal of Agricultural and Food Chemistry,Â 2008Â 56,Â (21), 10252-10260",NULL
"51","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"51","https://pubmed.ncbi.nlm.nih.gov/36382875/",,,"pubMed",,"0.04",,,"Yan J. and Tong H. An overview of bitter compounds in foodstuffs: Classifications, evaluation methods for sensory contribution, separation and identification techniques, and mechanism of bitter taste transduction, Comprehensive Reviews in Food Science and Food Safety, 2023, 22(1),",NULL
"52","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"52","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"52","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"52","https://pubmed.ncbi.nlm.nih.gov/35652727/",,,"pubMed",,,,,"Itoigawa A. et al. Functional Diversity and Evolution of Bitter Taste Receptors in Egg-Laying Mammals, Molecular Biology and Evolution, 2022, 39(6)",NULL
"53","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"53","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"53","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"53","https://pubmed.ncbi.nlm.nih.gov/33355666/",,,"pubMed",,,,,"Behrens M. et al. At the Root of T2R Gene Evolution: Recognition Profiles of Coelacanth and Zebrafish Bitter Receptors, Genome Biology and Evolution, 2021, 13(1)",NULL
"53","https://pubmed.ncbi.nlm.nih.gov/37413835/",,,"pubMed",,,,,"Yang J. et al. Discovery and verification of bitter components in Panax notoginseng based on the integrated strategy of pharmacophore model, system separation and bitter tracing technology, Food Chemistry, 2023, 428, 136716",NULL
"53","https://www.ncbi.nlm.nih.gov/pubmed/7878099",,,"pubMed",,"0.063",,,"Guinard JX, Hong DY, Zoumas-Morse C, Budwig C, Russell GF (1994). Chemoreception and perception of the bitterness of isohumulones. Physiol Behav 56(6): 1257-63.",NULL
"54","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
"54","https://doi.org/10.1093/chemse/bjp092",,,"URL",,,,,,NULL
"54","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"54","https://pubmed.ncbi.nlm.nih.gov/33644553/",,,"pubMed",,,,,"Yanagisawa T. and Misaka T. Characterization of the Human Bitter Taste Receptor Response to Sesquiterpene Lactones from Edible Asteraceae Species and Suppression of Bitterness through pH Control, ACS Omega, 2021, 6(6), 4401â€“4407",NULL
"54","https://pubmed.ncbi.nlm.nih.gov/37413835/",,,"pubMed",,,,,"Yang J. et al. Discovery and verification of bitter components in Panax notoginseng based on the integrated strategy of pharmacophore model, system separation and bitter tracing technology, Food Chemistry, 2023, 428, 136716",NULL
"54","https://pubmed.ncbi.nlm.nih.gov/37860623/",,,"pubMed",,,,,"Kumar P. Bitter taste receptors of the zebra finch (Taeniopygia guttata), Frontiers in Physiology, 2023, 4, 14, 1233711",NULL
"55","http://www.ncbi.nlm.nih.gov/pubmed/16562985",,,"pubMed",,,,,"Rodgers S, Glen RC, Bender A (None). Characterizing bitterness: identification of key structural features and development of a classification model. J Chem Inf Model 46(2): 569-76.",NULL
"55","http://www.ncbi.nlm.nih.gov/pubmed/19092995","supplementary data",,"pubMed",,,,,"Dotson CD, Zhang L, Xu H, Shin YK, Vigues S, et al. (2008). Bitter taste receptors influence glucose homeostasis. PLoS One 3(12): e3974.",NULL
"55","http://www.ncbi.nlm.nih.gov/pubmed/20022913",,,"pubMed",,,,,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, et al. (2010). The molecular receptive ranges of human TAS2R bitter taste receptors. Chem Senses 35(2): 157-70.",NULL
