compound_id,external_id,annotations
805,CHEBI:36635,"methylbenzoic acid
"
806,CHEBI:27434,"tolualdehyde
"
808,CHEBI:28617,"tolualdehyde
"
808,CPD-8773,"an aryl aldehyde
"
813,CHEBI:47696,"bromophenol
"
814,CHEBI:19333,"organochlorine compound
monomethoxybenzene
"
814,TRICHLOROANISOLE,"a small molecule
"
815,CHEBI:64344,"methyl ketone
aromatic ketone
benzenetriol
"
831,CHEBI:35164,"dihydroxyacetophenone
"
831,CPD-242,"a small molecule
"
833,CHEBI:18414,"dihydroxyacetophenone
"
838,CHEBI:18346,"phenols
benzaldehydes
"
838,VANILLIN,"a small molecule
"
841,CHEBI:48408,"aromatic ether
phenols
benzaldehydes
"
844,CHEBI:17189,"dihydroxybenzoic acid
"
846,CHEBI:30816,"monohydroxybenzoic acid
methoxybenzoic acid
"
847,CHEBI:36062,"catechols
dihydroxybenzoic acid
"
848,CHEBI:39912,"resorcinols
dihydroxybenzoic acid
"
849,CHEBI:32980,"hydroxy monocarboxylic acid
"
857,CHEBI:42438,"phenols
"
857,CPD-1072,"an aromatic compound
"
861,CHEBI:4630,"monomethoxyflavone
trihydroxyflavone
3'-hydroxyflavonoid
"
861,C10038,"Flavones and Flavonols
flavones
"
861,LMPK12110824,"Flavones and Flavonols
"
862,LMPK12110090,"Flavones and Flavonols
"
876,CHEBI:78441,"long-chain fatty aldehyde
"
876,LMFA06000108,"Fatty aldehydes
"
876,CPD-7884,"a fatty aldehyde
"
877,CHEBI:10432,"naphthol
"
877,CPD-8131,"a small molecule
"
882,CHEBI:16914,"monohydroxybenzoic acid
"
884,CHEBI:78439,"long-chain fatty aldehyde
"
884,LMFA06000107,"Fatty aldehydes
"
884,CPD-7883,"a fatty aldehyde
"
885,CHEBI:17594,"hydroquinones
benzenediol
"
885,HYDROQUINONE,"an electron-transfer-related quinol
a benzenediol
"
886,CHEBI:69441,"organic molecular entity
"
887,CHEBI:33226,"cinnamyl alcohol
"
888,CHEBI:33227,"cinnamyl alcohol
"
891,LMFA11000349,"Hydrocarbons
"
893,CHEBI:15882,"phenols
"
893,PHENOL,"a phenol
"
894,CHEBI:15365,"salicylates
acetate ester
benzoic acids
"
895,CHEBI:18357,"noradrenaline
"
895,C00547,"Adrenalines
Biogenic amines
"
896,CHEBI:30754,"aminobenzoic acid
"
897,CHEBI:73244,"benzoate ester
"
900,CHEBI:42725,"imidazoquinoline
"
904,CPD-6562,"an indole derivative
a glucoside
"
905,C08720,"Aurone flavonoids
aurones
"
906,CHEBI:45979,"1,3-thiazole
benzimidazoles
"
906,C07131,"Thiazole fungicides
"
906,THIABENDAZOLE,"a small molecule
"
907,CHEBI:43732,"1,3-thiazole
mancude organic heteromonocyclic parent
monocyclic heteroarene
"
912,CHEBI:30856,"thiophenes
mancude organic heteromonocyclic parent
monocyclic heteroarene
"
917,CHEBI:16765,"indole alkaloid
aminoalkylindole
tryptamines
aralkylamino compound
"
917,C00398,"Indole alkaloids
"
921,CHEBI:30817,"urocanic acid
"
932,CHEBI:70801,"imidazolyl carboxylic acid
"
933,CHEBI:16411,"monocarboxylic acid
indole-3-acetic acids
"
933,C00954,"Indole alkaloids
Auxins
"
934,INDOLE-3-CARBOXALDEHYDE,"an indole-phytolexin
"
935,CHEBI:24809,"indol-3-yl carboxylic acid
"
936,CHEBI:72782,"carboxylic ester
indoles
"
936,CPD-10546,"a plant hormone
"
937,CHEBI:16031,"indoles
acetamides
"
937,CPD-237,"a small molecule
"
939,CHEBI:24814,"indolyl alcohol
"
939,CPDQT-428,"an indole-phytolexin
"
940,CHEBI:65009,"aminoalkylindole
aralkylamino compound
"
941,CHEBI:43580,"indol-3-yl carboxylic acid
"
946,CHEBI:77092,"carbamate ester
organic sulfide
benzimidazoles
"
951,CHEBI:30845,"furoic acid
"
953,CHEBI:28869,"naphthoquinone
"
953,C05377,"Vitamin K
Fat-soluble vitamins
"
953,CPD-3766,"a vitamin K
"
954,CHEBI:16482,"naphthalenes
ortho-fused bicyclic arene
"
954,C00829,"Fumigants
"
954,NAPHTHALENE,"an aromatic compound
"
955,CHEBI:3682,"dihydroxyanthraquinone
"
955,C10312,"Anthraquinone type
"
956,CHEBI:47426,"sulfonamide
furans
chlorobenzoic acid
"
957,CHEBI:5195,"C-nitro compound
furans
oxazolidines
"
958,CHEBI:75633,"polyphenol
proanthocyanidin
biflavonoid
hydroxyflavan
"
958,LMPK12030001,"Proanthocyanidins
"
961,CHEBI:16667,"hydroxynitrile
"
961,CPD-1074,"a small molecule
"
963,CHEBI:5679,"coumarins
"
963,C09268,"coumarins
"
998,CHEBI:65948,"cyclic ketone
organic heterotetracyclic compound
polyphenol
cyclic ether
"
1014,CHEBI:15940,"pyridinemonocarboxylic acid
pyridine alkaloid
"
1014,C00253,"Water-soluble vitamins
Pyridine alkaloids
"
1018,CHEBI:4907,"1,1-bis(phosphonic acid)
"
1022,LMFA07010471,"Wax monoesters
"
1037,CHEBI:30753,"aminobenzoic acid
"
1044,CHEBI:30797,"malic acid
"
1053,CHEBI:27943,"harmala alkaloid
"
1053,CPD-9938,"an alkaloid
"
1054,CPDQT-426,"an indole-phytolexin
"
1066,CHEBI:46936,"phenols
capsaicinoid
"
1066,CPD-9183,"an alkaloid
"
1067,LMPR01070133,"C40 isoprenoids (tetraterpenes)
"
1072,5-BETA-CHOLESTANE-3-ALPHA7-TETRAOL,"a sterol
"
1086,CHEBI:35720,"organofluorine compound
N-arylpiperazine
cyclopropanes
N-alkylpiperazine
quinolone
quinolinemonocarboxylic acid
"
1087,CHEBI:71464,"N-(long-chain-acyl)ethanolamine
endocannabinoid
"
1087,LMFA08040013,"N-acyl ethanolamines (endocannabinoids)
"
1088,LMFA01030018,"Unsaturated fatty acids
"
1089,CPD0-2015,"an <i>N</i>-acyl-L-amino acid
"
1091,CHEBI:30260,"triamino-1,3,5-triazine
"
1091,C14147,"Pesticides
"
1091,CPD-7403,"an aromatic compound
"
1093,CHEBI:76604,"aromatic amine
imidazoquinoxaline
"
1094,CHEBI:27510,"hydroxycoumarin
"
1094,C09315,"coumarins
"
1094,CPD-8186,"a coumarin
"
1108,CPD-13494,"a phenylpropanoid
"
1109,CHEBI:47693,"tagatose
D-tagatose
"
1110,CHEBI:15672,"tartaric acid
"
1113,CHEBI:15671,"tartaric acid
"
1114,CHEBI:16551,"trehalose
"
1114,C01083,"Disaccharides
"
1115,TREHALOSE,"a disaccharide
"
1126,CHEBI:10295,"L-sorbopyranose
"
1131,CHEBI:17992,"glycosyl glycoside
"
1131,C00089,"Disaccharides
"
1136,CHEBI:53455,"D-xylose
"
1136,C00181,"Aldoses
"
1140,VICIANOSE,"a small molecule
"
1143,CHEBI:33020,"glycosylglucose
"
1145,CHEBI:36219,"lactose
"
1151,MALTOSE,"a disaccharide
"
1159,CHEBI:17973,"D-galactopyranose 1-phosphate
alpha-D-hexose 1-phosphate
"
1161,CHEBI:47962,"D-galacturonic acid
"
1161,CHEBI:62084,"N-acylneuraminic acid
"
1171,CHEBI:18266,"methyl myo-inositols
"
1172,CHEBI:18266,"methyl myo-inositols
"
1176,CHEBI:62346,"L-rhamnose
"
1176,C00507,"Deoxy sugars
"
1178,6G-KESTOTETRAOSE,"a fructan
"
1185,CPD-3781,"a cyclodextrin
"
1186,CPD-3783,"a cyclodextrin
"
1191,CHEBI:61953,"maltohexaose hexasaccharide
"
1192,CHEBI:61952,"maltopentaose pentasaccharide
"
1193,CHEBI:47937,"alpha-D-glucosyl-(1->4)-D-mannopyranose
"
1202,CHEBI:4208,"D-aldohexose
D-mannose
mannopyranose
"
1202,C00159,"Aldoses
"
1203,CHEBI:6731,"trisaccharide
"
1204,CHEBI:28053,"glycosylglucose
"
1204,C05402,"Disaccharides
"
1205,CHEBI:30852,"hexaric acid
"
1205,LMFA01170107,"Dicarboxylic acids
"
1209,CHEBI:45744,"N-acetylneuraminic acid
"
1267,LMFA07010184,"Wax monoesters
"
1298,CHEBI:33277,"tocotrienol
vitamin E
"
1298,C14155,"Vitamin E
"
1298,LMPR02020057,"Vitamin E
"
1310,LMPR02030001,"Vitamin K
"
1315,C08821,"Stigmasterols and C24-ethyl derivatives
stigmastane
"
1315,LMST01040145,"Stigmasterols and C24-ethyl derivatives
"
1320,CHEBI:15578,"sapogenin
"
1320,C03963,"Spirostanols and derivatives
spirostan
Spirostan and derivatives
"
1320,LMST01080007,"Spirostanols and derivatives
"
1324,CHEBI:28484,"branched-chain saturated fatty acid
short-chain fatty acid
methylbutyric acid
"
1324,C08262,"Branched fatty acids
"
1324,LMFA01020181,"Branched fatty acids
"
1352,C16819,"spirostan
"
1352,LMST01080019,"Spirostanols and derivatives
"
1355,CHEBI:41879,"11beta-hydroxy steroid
17alpha-hydroxy steroid
glucocorticoid
20-oxo steroid
fluorinated steroid
3-oxo-Delta(1),Delta(4)-steroid
21-hydroxy steroid
"
1355,C15643,"Pregnane and derivatives [Fig]
"
1365,CHEBI:17566,"indoles
nitrile
"
1365,INDOLEYL-CPD,"a small molecule
"
1366,LMFA07010411,"Wax monoesters
"
1403,CHEBI:27823,"indole-3-acetic acids
"
1404,CHEBI:33070,"indol-3-yl carboxylic acid
"
1451,CHEBI:44897,"monocarboxylic acid
carboxyalkyl phosphate
"
1463,C00341,"Acyclic monoterpenoids
Linear monoterpenes
"
1465,CHEBI:64280,"monoterpene
"
1465,C09873,"Acyclic monoterpenoids
Linear monoterpenes
"
1465,LMPR0102010021,"Acyclic monoterpenoids
"
1472,CHEBI:28927,"dihydroxyflavanone
monomethoxyflavanone
flavonoid phytoalexin
"
1472,C09833,"Flavanones
"
1472,LMPK12140571,"Flavanones
"
1474,CHEBI:28393,"2-amino-2-deoxy-D-glucopyranose
"
1477,CHEBI:17859,"alpha,omega-dicarboxylic acid
"
1477,C00489,"Dicarboxylic acids
"
1478,CHEBI:16891,"2-oxo monocarboxylic acid
aldehydic acid
"
1479,CHEBI:30744,"C4-dicarboxylic acid
oxo dicarboxylic acid
"
1479,LMFA01170120,"Dicarboxylic acids
"
1490,CHEBI:27747,"L-lysine derivative
homoarginine
"
1493,CHEBI:18127,"alkane-alpha,omega-diamine
"
1493,CADAVERINE,"an aliphatic &alpha;,&omega;-diamine
"
1494,CHEBI:17148,"alkane-alpha,omega-diamine
"
1494,C00134,"Biogenic amines
"
1494,PUTRESCINE,"an aliphatic &alpha;,&omega;-diamine
"
1497,CHEBI:17489,"adenyl ribonucleotide
3',5'-cyclic purine nucleotide
"
1497,C00575,"3',5'-Cyclic nuclcleotides
"
1498,CHEBI:16856,"thiol
cysteine derivative
tripeptide
"
1498,C00051,"Coenzymes
"
1931,CHEBI:15741,"C4-dicarboxylic acid
alpha,omega-dicarboxylic acid
"
1931,LMFA01170043,"Dicarboxylic acids
"
1512,CHEBI:18135,"catechols
benzenediol
"
1512,CATECHOL,"a catechol
"
1546,LMPK12113017,"Flavones and Flavonols
"
1604,CHEBI:18107,"xanthosines
"
1604,C01762,"Purine alkaloids
"
1946,CHEBI:15603,"L-alpha-amino acid
pyruvate family amino acid
leucine
"
1946,C00123,"Common amino acids
"
1969,LMPK12113344,"Flavones and Flavonols
"
1970,LMPK12113343,"Flavones and Flavonols
"
1976,CHEBI:17482,"cystathionine
"
1977,CHEBI:17712,"xanthine
"
1977,C00385,"Purine alkaloids
"
1977,XANTHINE,"a small molecule
"
1978,CHEBI:48991,"oxopurine
"
1978,C16353,"Purine alkaloids
"
1978,7-METHYLXANTHINE,"a small molecule
"
1979,CHEBI:28680,"monosaccharide derivative
beta-D-arabinoside
pyrimidine nucleoside
"
1980,CHEBI:33198,"gluconic acid
"
1980,C00257,"Uronic acids
"
1982,CHEBI:16899,"mannitol
"
1984,CHEBI:17621,"flavin mononucleotide
"
1993,C10643,"Acridone alkaloids
"
2000,C09549,"Isoquinoline alkaloids
"
2013,C10676,"Quinoline alkaloids
"
2030,C17592,"Isoquinoline alkaloids
"
2083,C09423,"Isoquinoline alkaloids
"
2087,CHEBI:15854,"cinchona alkaloid
"
2089,CHEBI:16718,"reticuline
"
2089,C02105,"Isoquinoline alkaloids
"
2100,CHEBI:27732,"alkaloid
purine alkaloid
trimethylxanthine
"
2100,C07481,"Purine alkaloids
"
2100,1-3-7-TRIMETHYLXANTHINE,"a small molecule
"
2107,CHEBI:32528,"glycosylfructose
"
2149,CHEBI:28121,"harmala alkaloid
"
2149,C06538,"Indole alkaloids
"
2149,CPD-9940,"an alkaloid
"
2170,C09231,"Indole alkaloids
"
2196,C10642,"Quinazoline alkaloids
"
2197,C10128,"Pyridine alkaloids
"
2198,CHEBI:2814,"enoate ester
tetrahydropyridine
pyridine alkaloid
"
2198,C10129,"Pyridine alkaloids
"
2237,CHEBI:18123,"iminium betaine
alkaloid
"
2237,C01004,"Pyridine alkaloids
"
2237,METHYLNICOTINATE,"a small molecule
"
2246,CHEBI:15728,"guanidines
"
2250,CHEBI:16828,"L-alpha-amino acid
erythrose 4-phosphate/phosphoenolpyruvate family amino acid
tryptophan
"
2250,C00078,"Common amino acids
"
2253,CHEBI:16958,"beta-amino acid
"
2253,C00099,"Other amino acids
Biogenic amines
"
2257,CHEBI:16467,"L-alpha-amino acid
glutamine family amino acid
arginine
"
2257,C00062,"Common amino acids
"
2261,CHEBI:48300,"threitol
"
2262,CHEBI:16633,"L-alpha-amino acid
selenocysteine
"
2262,C05688,"Other amino acids
"
2281,CHEBI:28939,"N-acetyl-L-amino acid
acetylcysteine
"
2316,LMPK12110420,"Flavones and Flavonols
"
2338,LMFA07010467,"Wax monoesters
"
2343,CPD-10178,"a secondary metabolite
"
2348,CHEBI:78576,"tertiary alcohol
aromatic ether
aromatic ketone
aflatoxin
"
2348,C16756,"Aflatoxins and related substances
Aflatoxins
"
2352,CHEBI:17293,"phenoxazine
"
2352,ISOPHENOXAZINE,"a small molecule
"
2353,CHEBI:28971,"penicillin
beta-lactam antibiotic
"
2353,C06574,"penams
"
2396,CHEBI:34292,"benzothiazoles
aryl thiol
"
2396,CPD-8766,"a thiazole
"
2412,CHEBI:9400,"pentamethoxyflavone
"
2412,C10190,"Flavones and Flavonols
flavones
"
2412,LMPK12111443,"Flavones and Flavonols
"
2418,LMPK12113093,"Flavones and Flavonols
"
2419,LMPK12113094,"Flavones and Flavonols
"
2427,CHEBI:50371,"rosmarinic acid
"
2431,ALPHA-TOCOPHEROL,"Vitamin E
"
2432,CHEBI:47772,"tocopherol
"
2432,C14151,"Vitamin E
"
2432,LMPR02020061,"Vitamin E
"
2434,CHEBI:33270,"tocotrienol
vitamin E
"
2434,C14153,"Vitamin E
"
2434,LMPR02020054,"Vitamin E
"
2446,LMPK12090026,"Coumestan flavonoids
"
2451,CHEBI:45713,"resveratrol
"
2451,C03582,"Diphenyl ethers, biphenyls, dibenzyls and stilbenes
Stilbenes
"
2451,LMPK13090005,"Diphenyl ethers, biphenyls, dibenzyls and stilbenes
"
2468,C13526,"Polyketides
Anthracenes and phenanthrenes
Anthrone type
"
2468,LMPK13040017,"Anthracenes and phenanthrenes
"
2481,STERIGMATOCYSTIN,"a small molecule
"
2506,C16416,"chalcones
"
2507,LMPK12113249,"Flavones and Flavonols
"
2514,CHEBI:8359,"7-hydroxyisoflavones
methoxyisoflavone
"
2514,C10520,"Isoflavonoids
isoflavones
"
2514,LMPK12050265,"Isoflavonoids
"
2518,LMPK12110919,"Flavones and Flavonols
"
2536,CHEBI:28527,"rutinoside
disaccharide derivative
tetrahydroxyflavone
quercetin O-glucoside
"
2536,C05625,"flavonols
"
2542,CHEBI:18293,"organic heterotricyclic compound
psoralens
5-methoxyfurocoumarin
"
2542,C01557,"Furanocoumarins
"
2542,5-METHOXYFURANOCOUMARIN,"a coumarin
"
2558,CHEBI:17395,"caffeic acid
"
2559,CHEBI:16433,"caffeic acid
"
2559,C01197,"Caffeate derivatives
"
2570,CHEBI:69355,"dihydroxyflavone
tetramethoxyflavone
"
2570,LMPK12113010,"Flavones and Flavonols
"
2571,CHEBI:15600,"catechin
"
2571,C06562,"Flavans, Flavanols and Leucoanthocyanidins
Flavan 3-ols
Condensed tannins (Proanthocyanidins)
"
2571,LMPK12020001,"Flavans, Flavanols and Leucoanthocyanidins
"
2576,CHEBI:90,"polyphenol
catechin
"
2576,C09727,"Flavans, Flavanols and Leucoanthocyanidins
Flavan 3-ols
Condensed tannins (Proanthocyanidins)
"
2576,LMPK12020003,"Flavans, Flavanols and Leucoanthocyanidins
"
2579,CHEBI:16514,"monomethoxyflavone
trihydroxyflavone
"
2579,C04293,"flavones
"
2579,LMPK12110799,"Flavones and Flavonols
"
2582,CHEBI:16112,"cinnamate ester
tannin
"
2582,C00852,"Caffeate derivatives
"
2584,CHEBI:3687,"hydroxyanthraquinones
"
2584,C10315,"Anthracenes and phenanthrenes
Anthraquinone type
"
2584,LMPK13040006,"Anthracenes and phenanthrenes
"
2584,CPD-8216,"a hydroxyanthraquinone
"
2590,CHEBI:32357,"3-coumaric acid
"
2593,CHEBI:32374,"4-coumaric acid
"
2593,C00811,"Paracoumaryl alcohol derivatives
"
2596,LMPK12050060,"Isoflavonoids
"
2608,CHEBI:28197,"7-hydroxyisoflavones
"
2608,C10208,"Isoflavonoids
isoflavones
"
2608,LMPK12050038,"Isoflavonoids
"
2608,DAIDZEIN,"an isoflavone
a 4'-hydroxyisoflavone
"
2613,CHEBI:38701,"anthocyanidin chloride
"
2617,LMPK12111444,"Flavones and Flavonols
"
2621,C10063,"xanthenes
"
2628,CHEBI:65751,"carboxylic ester
cyclitol carboxylic acid
"
2648,CHEBI:4946,"phenols
xanthones
"
2648,C10061,"xanthenes
"
2677,CHEBI:28230,"3'-hydroxyflavanones
trihydroxyflavanone
monomethoxyflavanone
"
2677,C01709,"Flavanones
"
2677,LMPK12140003,"Flavanones
"
2700,CHEBI:27794,"ferulic acids
"
2707,CHEBI:69557,"1-benzofurans
benzodioxoles
primary alcohol
"
2708,CHEBI:15794,"naphthoquinone
"
2708,C03840,"alpha-Naphthoquinones
"
2708,HYDROXYNAPHTHOQUINONE,"a quinone
"
2711,CHEBI:67486,"monosaccharide derivative
beta-D-galactoside
tetrahydroxyflavone
quercetin O-glycoside
"
2711,C10073,"Flavones and Flavonols
flavonols
"
2712,C11918,"Monocyclic gamma-pyrones
"
2714,CHEBI:31799,"aromatic ether
beta-D-glucoside
anthocyanin cation
"
