cid,cStruc,canonical_smiles,Isomeric_smiles,IUPAC,cFormula,InChiKey,MW,AlogP,Num_AromaticRings,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,Num_Rings,SensoryThr,toxicity_val
49,C1=CC=C2C(=C1)C=CC(=O)O2,C1=CC=C2C(=C1)C=CC(=O)O2,C1=CC=C2C(=C1)C=CC(=O)O2,chromen-2-one,C9H6O2,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,146.14,1.793,2,2,0,0,2.0,0,0.0
50,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O,CC(=O)OC(C)(C)/C=C/C(=O)[C@@](C)(C1[C@@H](C[C@@]2([C@@]1(CC(=O)[C@@]3([C@H]2CC=C4[C@H]3C[C@@H](C(=O)C4(C)C)O)C)C)C)O)O,"[(E,6R)-6-[(2S,8S,9R,10R,13R,14S,16R)-2,16-dihydroxy-4,4,9,13,14-pentamethyl-3,11-dioxo-2,7,8,10,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-hydroxy-2-methyl-5-oxohept-3-en-2-yl] acetate",C32H46O8,IXQKXEUSCPEQRD-ALLWXVAWSA-N,558.71,3.4993,0,8,3,5,4.0,1,0.0
51,CCCCCCCC=CC(C#CC#CC(C=C)O)O,CCCCCCCC=CC(C#CC#CC(C=C)O)O,CCCCCCC/C=C\[C@@H](C#CC#C[C@H](C=C)O)O,"(3S,8S,9Z)-heptadeca-1,9-dien-4,6-diyne-3,8-diol",C17H24O2,QWCNQXNAFCBLLV-RCQSYPNMSA-N,260.38,2.8177,0,2,2,8,0.0,0,0.0
52,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,CN1CCC2=CC3=C(C(=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,"(3S)-6,7-dimethoxy-3-[(5R)-4-methoxy-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl]-3H-2-benzofuran-1-one",C22H23NO7,AKNNEGZIBPJZJG-MSOLQXFVSA-N,413.43,2.8818,2,8,0,4,5.0,0,1520.0
53,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,"1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline",C20H21NO4,XQYZDYMELSJDRZ-UHFFFAOYSA-N,339.39,3.86,3,5,0,6,3.0,1,325.0
54,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,C/C/1=C\CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C,,C15H20O3,KTEXNACQROZXEV-SLXBATTESA-N,248.32,2.762,0,3,0,0,3.0,0,0.0
55,CC1C=C(C(=O)C2(C1CC3C4(C2C(=O)C(=C(C4CC(=O)O3)C)OC)C)C)OC,CC1C=C(C(=O)C2(C1CC3C4(C2C(=O)C(=C(C4CC(=O)O3)C)OC)C)C)OC,C[C@@H]1C=C(C(=O)[C@]2([C@H]1C[C@@H]3[C@@]4([C@@H]2C(=O)C(=C([C@@H]4CC(=O)O3)C)OC)C)C)OC,,C22H28O6,IOSXSVZRTUWBHC-LBTVDEKVSA-N,388.46,2.819,0,6,0,2,4.0,0,0.0
56,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],6-(3-methyl-5-nitroimidazol-4-yl)sulfanyl-7H-purine,C9H7N7O2S,LMEKQMALGUDUQG-UHFFFAOYSA-N,277.27,1.1458,3,8,1,3,3.0,0,0.0
57,C1=CC=C(C=C1)C(=O)N,C1=CC=C(C=C1)C(=O)N,C1=CC=C(C=C1)C(=O)N,benzamide,C7H7NO,KXDAEFPNCMNJSK-UHFFFAOYSA-N,121.14,0.7855,1,1,1,1,1.0,0,0.0
58,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,[2-(carbamoyloxymethyl)-2-methylpentyl] N-propan-2-ylcarbamate,C12H24N2O4,OFZCIYFFPZCNJE-UHFFFAOYSA-N,260.33,2.0227,0,4,2,7,0.0,0,1320.0
59,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,(1E)-2-[6-[[amino-[(E)-[amino-(4-chloroanilino)methylidene]amino]methylidene]amino]hexyl]-1-[amino-(4-chloroanilino)methylidene]guanidine,C22H30Cl2N10,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,505.46,3.3366,2,2,6,9,2.0,0,0.0
60,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,"3-(4-chlorophenyl)-N,N-dimethyl-3-pyridin-2-ylpropan-1-amine",C16H19ClN2,SOYKEARSMXGVTM-UHFFFAOYSA-N,274.8,3.8186,2,2,0,5,2.0,0,0.0
61,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,"2-benzhydryloxy-N,N-dimethylethanamine",C17H21NO,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,255.36,3.3542,2,2,0,6,2.0,0,390.0
62,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,"1,1-diphenyl-4-piperidin-1-ylbutan-1-ol",C21H27NO,OGAKLTJNUQRZJU-UHFFFAOYSA-N,309.45,4.1886,2,2,1,6,3.0,0,0.0
63,C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,"1,3-diphenylthiourea",C13H12N2S,FCSHMCFRCYZTRQ-UHFFFAOYSA-N,228.32,3.4955,2,1,2,2,2.0,0,49.9
64,C=CS(=O)C=C,C=CS(=O)C=C,C=CS(=O)C=C,1-ethenylsulfinylethene,C4H6OS,HQSMEHLVLOGBCK-UHFFFAOYSA-N,102.16,1.0221,0,1,0,2,0.0,0,0.0
65,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,2-[3-(trifluoromethyl)anilino]benzoic acid,C14H10F3NO2,LPEPZBJOKDYZAD-UHFFFAOYSA-N,281.23,4.1472,2,2,2,3,2.0,0,249.0
66,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,C21H23ClFNO2,LNEPOXFFQSENCJ-UHFFFAOYSA-N,375.87,4.4256,2,3,1,6,3.0,0,0.0
67,C1=CC=C(C=C1)C(=O)[O-].[Na+],C1=CC=C(C=C1)C(=O)[O-].[Na+],C1=CC=C(C=C1)C(=O)[O-].[Na+],sodium;benzoate,C7H5NaO2,WXMKPNITSTVMEF-UHFFFAOYSA-M,144.11,-2.9459,1,2,0,1,1.0,0,0.0
68,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,"2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol",C12H17N4OS+,JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.36,0.60774,2,5,2,4,2.0,0,0.0
69,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],"2,2-dichloro-N-[(1R,2R)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",C11H12Cl2N2O5,WIIZWVCIJKGZOK-RKDXNWHRSA-N,323.13,0.909,1,5,3,6,1.0,0,0.0
70,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,"methyl (1S,15R,18S,19R,20S)-18-hydroxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate",C21H26N2O3,BLGXFZZNTVWLAY-SCYLSFHTSA-N,354.45,2.6471,2,4,2,1,5.0,0,0.0
71,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=C(C=C(C=C4C5=CC(=CC=C5)O)O)O,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=C(C=C(C=C4C5=CC(=CC=C5)O)O)O,C=C[C@@H]1[C@@H]2CCOC(=O)C2=CO[C@H]1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)OC(=O)C4=C(C=C(C=C4C5=CC(=CC=C5)O)O)O,"[(2S,3R,4S,5S,6R)-2-[[(3S,4R,4aS)-4-ethenyl-8-oxo-4,4a,5,6-tetrahydro-3H-pyrano[3,4-c]pyran-3-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl] 2,4-dihydroxy-6-(3-hydroxyphenyl)benzoate",C29H30O13,DBOVHQOUSDWAPQ-WTONXPSSSA-N,586.55,1.0569,2,13,6,7,5.0,1,0.0
72,CCC(C)C(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,CCC(C)C(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,CCC(C)C(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,"5,6-dihydroxy-4-(2-methylbutanoyl)-2,6-bis(3-methylbut-2-enyl)cyclohex-4-ene-1,3-dione",C21H30O5,DRRRARWGCRPATB-UHFFFAOYSA-N,362.47,3.6254,0,5,2,7,1.0,1,0.0
73,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,"3,5,6-trihydroxy-4,6-bis(3-methylbut-2-enyl)-2-(2-methylpropanoyl)cyclohexa-2,4-dien-1-one",C20H28O5,DRSITEVYZGOOQG-UHFFFAOYSA-N,348.44,3.8621,0,5,3,6,1.0,1,0.0
74,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,"3,5-dihydroxy-4,6,6-tris(3-methylbut-2-enyl)-2-(2-methylpropanoyl)cyclohexa-2,4-dien-1-one",C25H36O4,UNCDMWKTFLUPHZ-UHFFFAOYSA-N,400.56,6.4737,0,4,2,8,1.0,1,0.0
75,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)OC)O)C,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)OC)O)C,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)OC)O)C,"7-hydroxy-2-(4-hydroxyphenyl)-5-methoxy-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one",C21H22O5,YKGCBLWILMDSAV-UHFFFAOYSA-N,354.4,4.3216,2,5,2,4,3.0,0,0.0
76,CC(=CCC1=C(C=C(C(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)O)C,CC(=CCC1=C(C=C(C(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)O)C,CC(=CCC1=C(C=C(C(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)O)C,"(E)-1-[2,4-dihydroxy-6-methoxy-3-(3-methylbut-2-enyl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one",C21H22O5,ORXQGKIUCDPEAJ-YRNVUSSQSA-N,354.4,4.2168,2,5,3,6,2.0,0,0.0
77,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,,C18H25NO,MKXZASYAUGDDCJ-NJAFHUGGSA-N,271.4,3.3834,1,2,0,1,4.0,0,116.0
78,C(#N)[S-].[Na+],C(#N)[S-].[Na+],[11C](#N)[S-].[Na+],sodium;azanylidynemethanethiolate,CNNaS,VGTPCRGMBIAPIM-ULWFUOSBSA-M,80.08,-2.98162,0,2,0,0,0.0,0,0.0
79,CC(C)CC(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,CC(C)CC(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,CC(C)CC(=O)C1=C([C@@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,"(4S,5S)-3,4-dihydroxy-2-(3-methylbutanoyl)-5-(3-methylbut-2-enyl)-4-(4-methylpent-3-enoyl)cyclopent-2-en-1-one",C21H30O5,QARXXMMQVDCYGZ-QVKFZJNVSA-N,362.47,3.6254,0,5,2,8,1.0,1,0.0
80,CC(C)C(=O)C1=C([C@]([C@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,CC(C)C(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,CC(C)C(=O)C1=C([C@]([C@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,"(4R,5R)-3,4-dihydroxy-5-(3-methylbut-2-enyl)-4-(4-methylpent-3-enoyl)-2-(2-methylpropanoyl)cyclopent-2-en-1-one",C20H28O5,KKXFYHZSOIALRM-JLTOFOAXSA-N,348.44,3.2353,0,5,2,7,1.0,1,0.0
81,CCC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,CCC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,CCC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,"3,5-dihydroxy-2-(2-methylbutanoyl)-4,6,6-tris(3-methylbut-2-enyl)cyclohexa-2,4-dien-1-one",C26H38O4,QXPOWGXRDUFAQW-UHFFFAOYSA-N,414.59,6.8638,0,4,2,9,1.0,1,0.0
